D:\Documents\11Projects\little-brother-v3>lb3 run --dry-run --duration 30 | findstr /i "snapshot"
2025-09-22T20:38:24.611 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.646 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.677 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.711 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.746 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.779 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.811 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.845 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.881 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.920 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.955 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:25.623 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:25.880 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:25.911 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:25.954 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.005 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.052 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.096 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.128 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.295 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.328 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.362 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.402 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.437 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.470 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.502 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.545 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.577 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.619 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.653 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.839 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.870 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.912 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.946 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:26.986 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.022 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.057 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.097 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.137 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.170 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.245 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.277 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.319 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.450 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.954 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:27.995 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.037 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.079 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.119 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.305 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.347 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.378 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.419 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.452 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.493 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.527 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.569 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.602 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.644 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.677 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.719 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:28.752 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:29.580 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:29.677 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:30.693 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:30.733 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:31.922 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:31.959 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:31.992 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.062 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.161 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.200 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.250 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.283 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.318 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.351 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.384 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.445 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.533 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.566 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.600 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.633 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.666 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.708 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.742 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.775 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.809 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.844 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:32.875 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
